"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Sabah","6.4958","116.761","Kota Marudu","2282","99998","44","96192","3806","51228","48770","97.6","97598","2","2000","0","0","0.4","400","29.6","29599","61.7","61699","8.7","8700","64.1","64099","62.1","48","14.1","105","26062","22789","4.4","758","665","256","168","87.7","87698","3.9","3900","8.4","8400","58.5","58500","53.5","53500","5.1","5100","22","22000","72.7","8.6","2424","3739","2376","0.431","44.2","1463","2096","1212","251","1740","356","8","2","0","1453","16","11","1","2068","310","1023","2","0","128","515","1431","6","1","143","0","25","1181","257","0","47","1540","509"
"Sabah","6.3545","116.431","Kota Belud","1372","107243","78","103170","4073","53945","53298","97.8","104884","1.7","1823","0.1","107","0.4","429","26.3","28205","63.3","67885","10.3","11046","66.6","71424","57.9","41.6","16.3","101","21393","20823","5.1","840","715","284","180","93.7","100487","2.9","3110","3.4","3646","55.6","55600","50.2","50200","5.4","5400","33","33000","62.8","9.7","3025","4377","2371","0.412","34.1","675","1636","476","199","1246","390","4","0","0","671","8","1","1","1626","472","199","0","0","4","1063","561","1","1","10","0","36","569","70","0","68","1323","245"
"Sabah","6.1763","116.2328","Tuaran","1126","134976","120","127406","7570","68540","66436","96.8","130657","2.4","3239","0.1","135","0.7","945","25.9","34959","67.1","90569","7","9448","67.7","91379","49.1","38.6","10.5","103","34024","29136","4.6","1030","889","346","225","72.8","98263","23.5","31719","3.7","4994","70.8","70800","66.7","66700","4.2","4200","38","38000","65.1","5.9","3747","5089","2932","0.383","16.3","910","1292","664","246","959","333","11","2","1","896","9","12","2","1269","513","391","2","0","4","794","480","0","1","17","0","21","694","195","0","43","995","254"
"Sabah","6.0327","116.1242","Sepanggar","317","336253","1061","280746","55507","171500","164753","85.6","287833","12.8","43040","0.4","1345","1.1","3699","25.6","86081","70.1","235713","4.3","14459","69.4","233360","42.6","36.6","6.1","104","76661","76273","4.4","2613","2322","875","589","65.9","221591","28.1","94487","6","20175","209.7","209700","196.4","196400","13.2","13200","77.8","77800","72.9","6.3","5447","7076","3123","0.386","9.8","232","551","166","66","382","169","7","2","0","223","18","7","2","524","158","71","1","0","2","375","166","5","0","5","0","7","175","50","0","16","438","97"
"Sabah","5.9804","116.0735","Kota Kinabalu","26","114202","4392","95460","18742","59181","55021","62.2","71034","36.4","41570","0.7","799","0.7","799","19","21698","71.6","81769","9.4","10735","76.7","87593","39.6","26.5","13.1","108","25976","27100","4.2","834","782","281","198","66.4","75830","23.9","27294","9.7","11078","76.2","76200","71.2","71200","5","5000","28","28000","73.1","6.5","7220","8846","4290","0.352","1.6","84","179","54","30","130","49","5","4","0","75","8","6","0","165","66","16","1","0","1","128","50","1","0","0","0","1","71","12","0","7","138","34"
"Sabah","5.885695","116.050789","Putatan","58","115203","1986","98121","17082","59085","56118","91.5","105411","6.8","7834","0.4","461","1.3","1498","25.9","29838","68.3","78684","5.8","6682","68.7","79144","46.4","38","8.5","105","27162","25431","4.5","883","782","298","198","62.3","71771","36","41473","1.7","1958","69.6","69600","64.4","64400","5.2","5200","25.8","25800","73","7.5","5008","6819","3172","0.379","11.7","100","250","59","41","166","84","5","2","0","93","16","2","2","230","87","11","2","0","0","224","24","1","1","0","0","4","80","16","0","8","210","32"
"Sabah","5.9142","116.1077","Penampang","492","178499","363","158591","19908","94857","83642","74.7","133339","23.7","42304","0.4","714","1.2","2142","21.3","38020","71.9","128341","6.8","12138","73.6","131375","39","29.6","9.4","113","47840","44590","3.8","1321","1219","446","309","64.6","115310","32.6","58191","2.8","4998","103.2","103200","94.2","94200","9","9000","50.4","50400","67.2","8.7","5535","6643","3230","0.324","4.2","155","258","110","45","189","69","2","4","0","149","3","5","1","249","12","139","1","0","3","29","221","3","0","5","0","1","107","47","0","4","199","55"
"Sabah","5.7346","115.9319","Papar","610","106765","175","98452","8313","56184","50581","94.4","100786","4.7","5018","0.1","107","0.8","854","22.9","24449","71","75803","6.1","6513","70.4","75163","40.9","32.3","8.6","111","26178","22398","4.6","834","762","281","194","72.1","76978","26.6","28399","1.3","1388","66.5","66500","61.7","61700","4.8","4800","33.3","33300","66.6","7.2","4665","5843","2899","0.352","12.1","315","704","224","91","535","169","16","4","0","295","27","11","0","666","213","98","2","0","2","477","210","7","0","10","0","13","254","48","0","21","569","114"
"Sabah","5.6166","115.8893","Kimanis","949","50408","53","45850","4558","25986","24422","97.9","49349","1.6","807","0.1","50","0.4","202","21.3","10737","71.1","35840","7.5","3781","72.4","36495","40.6","29.9","10.6","106","10517","10419","4.8","377","346","128","88","89.6","45166","3.2","1613","7.2","3629","32.2","32200","29.6","29600","2.6","2600","16","16000","66.8","8.1","4050","5359","2578","0.391","18.4","287","517","211","76","408","109","17","5","0","265","18","6","1","492","168","108","1","0","10","322","177","5","1","12","0","8","230","49","0","19","419","79"
"Sabah","5.3451","115.7451","Beaufort","871","52107","60","48502","3605","26390","25717","94.4","49189","4.5","2345","0.2","104","0.9","469","24","12506","66.8","34807","9.2","4794","69.1","36006","49.7","35.9","13.8","103","13325","11159","4.7","401","346","135","88","84.6","44083","5.7","2970","9.7","5054","32.3","32300","30.3","30300","2","2000","16.5","16500","66.2","6.3","3260","4444","2547","0.368","28","580","953","426","154","752","201","24","7","1","548","40","10","2","901","435","117","20","0","8","704","199","31","0","19","0","16","513","51","0","30","787","136"
"Sabah","5.0792","115.5508","Sipitang","3715","66583","18","60458","6125","34389","32194","95.4","63520","3.9","2597","0.1","67","0.5","333","25.9","17245","65.7","43745","8.4","5593","67.9","45210","52.2","39.4","12.8","107","15839","14682","4.5","497","446","168","113","81.3","54132","6.6","4394","12.1","8057","37.7","37700","35.3","35300","2.4","2400","19.5","19500","66","6.4","3944","5148","2391","0.341","10.4","463","793","352","111","622","171","9","2","3","449","31","8","0","754","352","108","2","0","1","651","133","5","0","4","0","10","380","73","0","23","628","142"
"Sabah","5.9536","116.664","Ranau","3891","86084","22","79745","6339","44659","41425","98.6","84879","0.9","775","0","0","0.4","344","23.9","20574","69.9","60173","6.2","5337","69.1","59484","43","34.2","8.8","108","18134","16765","5.1","748","677","253","171","86.2","74204","5.7","4907","8.1","6973","74.6","74600","68.1","68100","6.6","6600","24.2","24200","75.5","8.8","3519","4669","2648","0.393","26.8","1026","1083","841","185","882","201","6","2","0","1018","7","2","0","1074","373","633","1","0","19","485","577","2","0","19","0","19","858","149","0","19","833","231"
"Sabah","5.3374","116.1567","Keningau","2231","129882","58","117554","12328","66395","63487","93.1","120920","5.8","7533","0.1","130","0.9","1169","27.8","36107","66.1","85852","6.1","7923","66.4","86242","51.3","42.1","9.2","105","32215","30366","4.3","1004","875","339","222","85","110400","8.9","11559","6.1","7923","68.4","68400","64","64000","4.3","4300","42.1","42100","61.9","6.3","4150","5550","2884","0.38","14.7","578","1207","479","99","994","213","1","2","0","575","18","9","0","1180","138","422","0","0","18","264","919","3","0","21","0","12","494","72","0","29","998","180"
"Sabah","5.1247","115.9445","Tenom","2457","50230","20","48026","2204","25806","24424","96","48221","3.5","1758","0","0","0.5","251","25.6","12859","67.2","33755","7.3","3667","66.8","33554","48.9","38.1","10.8","106","12238","10672","4.7","391","347","132","88","88.7","44554","3.2","1607","8.1","4069","29.5","29500","27.7","27700","1.8","1800","18.4","18400","61.5","6.1","3525","4734","2606","0.347","17.2","848","1068","736","112","881","187","17","10","0","821","18","20","0","1030","120","709","11","0","8","192","847","9","0","20","0","7","735","106","0","23","856","189"
"Sabah","4.5447","116.3118","Pensiangan","8897","82499","9","73991","8508","43476","39023","98.6","81344","1","825","0","0","0.3","247","26.7","22027","68.1","56182","5.2","4290","66","54449","46.9","39.3","7.6","111","18757","17066","4.8","672","614","227","157","89.5","73837","1.2","990","9.3","7672","58.8","58800","54.1","54100","4.7","4700","26.6","26600","68.8","8","3636","4359","2415","0.302","31.1","1397","1383","1244","153","1183","200","2","1","0","1394","2","2","0","1379","188","1192","3","0","14","260","1107","2","0","14","0","33","1168","196","0","65","1076","242"
"Sabah","5.8961","117.5572","Beluran","7448","101066","14","59032","42034","54712","46354","97.6","98640","0.6","606","0.2","202","1.6","1617","28.5","28804","68.6","69331","2.9","2931","67","67714","45.7","41.5","4.2","118","30227","26214","3.8","730","711","246","180","80.4","81257","5.9","5963","13.7","13846","67","67000","61.5","61500","5.5","5500","24.9","24900","72.9","8.2","2848","4169","1848","0.407","43.3","1092","1132","875","217","906","226","6","2","0","1084","12","3","0","1117","615","428","0","0","49","657","454","0","0","21","0","24","872","196","0","25","875","232"
"Sabah","6.115","118.0201","Libaran","930","171452","184","122828","48624","87215","84237","86.7","148649","11","18860","0.2","343","2","3429","27.8","47664","66.9","114701","5.3","9087","65","111444","49.4","41.5","7.9","104","36450","33319","5.1","1290","1117","436","284","76.2","130646","17.3","29661","6.4","10973","102.7","102700","94.5","94500","8.2","8200","35.4","35400","74.4","8","4704","5616","2885","0.363","20.2","242","445","156","86","333","112","25","3","1","213","54","3","2","386","231","11","0","0","0","432","12","0","0","1","0","8","191","43","0","9","339","97"
"Sabah","5.7967","118.0397","Batu Sapi","454","119698","264","85136","34562","62508","57190","75.9","90851","22.1","26453","0.3","359","1.7","2035","23.5","28129","70.5","84387","5.9","7062","69.7","83430","41.8","33.3","8.4","109","21873","21273","5.5","910","840","307","213","74.2","88816","23.4","28009","2.4","2873","78.5","78500","72.5","72500","6","6000","27.2","27200","74.3","7.7","5017","6426","3571","0.387","13.7","231","449","162","69","344","105","12","2","1","216","24","3","0","422","228","3","0","0","0","444","3","2","0","0","0","4","189","38","0","7","338","104"
"Sabah","5.8394","118.1172","Sandakan","23","121672","5290","82111","39561","62345","59327","73.1","88942","25","30418","0.4","487","1.5","1825","24.4","29688","69","83954","6.6","8030","68.8","83710","44.9","35.4","9.6","105","22999","22587","5.3","918","806","310","204","63.5","77262","36","43802","0.5","608","80.8","80800","74.3","74300","6.5","6500","27.8","27800","74.4","8.1","5191","6963","3759","0.416","16.8","199","292","115","84","187","105","18","5","0","176","35","3","2","252","189","10","0","0","0","282","9","1","0","0","0","8","143","48","0","13","218","61"
"Sabah","5.5865","117.8501","Kinabatangan","18068","216087","12","79593","136494","118889","97198","95","205283","0.7","1513","0.1","216","4.2","9076","29.8","64394","68.1","147155","2.1","4538","65","140457","46.7","43.7","3","122","50371","48388","4.5","1516","1551","511","394","79.9","172654","2.6","5618","17.5","37815","134.7","134700","121.5","121500","13.1","13100","62.6","62600","68.3","9.7","2973","4310","1916","0.408","41.7","865","1308","674","191","1030","278","12","1","2","850","23","2","0","1283","405","459","0","0","1","599","704","2","0","3","0","25","729","111","0","41","1036","231"
"Sabah","5.0242","118.3307","Lahad Datu","8594","299550","35","180519","119031","159843","139707","90.1","269895","5.9","17673","0.3","899","3.7","11083","28.5","85372","68.1","203994","3.4","10185","66.3","198602","46.8","41.8","5","114","63360","61478","4.8","2128","2039","718","516","73.5","220169","11.9","35646","14.6","43734","153.7","153700","138.8","138800","14.8","14800","61.6","61600","71.4","9.7","4075","5644","2763","0.373","19.9","495","618","280","215","355","263","33","5","3","454","52","3","3","560","442","49","2","1","1","563","54","1","0","0","0","22","383","90","0","23","479","116"
"Sabah","4.4794","118.6115","Semporna","1126","166587","148","102740","63847","85401","81186","98","163255","1","1666","0.1","167","0.9","1499","34","56640","61.7","102784","4.2","6997","58.8","97953","62","55.2","6.9","105","31553","29042","5.7","1249","1101","421","279","89.3","148762","7.1","11828","3.6","5997","70.8","70800","63.7","63700","7.2","7200","42.4","42400","62.5","10.1","3542","5933","2599","0.474","31.5","1139","1417","746","393","889","528","21","0","0","1118","25","5","0","1387","1135","2","0","0","2","1412","2","2","0","1","0","21","891","227","0","34","1046","337"
"Sabah","4.2447","117.8912","Tawau","1332","230531","173","155447","75084","120678","109853","77.9","179584","17.2","39651","0.2","461","4.6","10604","27.8","64088","67.4","155378","4.8","11065","66.5","153303","48.5","41.3","7.1","110","47607","45694","5","1717","1589","579","403","65.8","151689","26.4","60860","7.8","17981","141.6","141600","131.7","131700","9.9","9900","46.8","46800","75.1","7","4494","6202","2554","0.388","13.5","279","896","168","111","530","366","54","3","1","221","237","12","4","643","263","12","4","0","0","848","45","2","0","1","0","14","218","47","0","26","746","124"
"Sabah","4.4117","117.4927","Kalabakan","4551","188656","41","125038","63618","99264","89392","88.8","167527","8.4","15847","0.2","377","2.6","4905","26.9","50748","68","128286","5.1","9621","67.6","127531","47","39.5","7.5","111","43247","40302","4.6","1375","1302","463","329","80.9","152623","13.4","25280","5.7","10753","100.1","100100","90.1","90100","10.1","10100","47","47000","68.1","10","4265","6222","2941","0.385","14.8","199","769","117","82","482","287","28","2","1","168","168","5","2","594","168","29","2","0","0","690","78","1","0","0","0","6","176","17","0","27","647","95"
"Terengganu","5.829","102.5524","Besut","1027","127825","124","125125","2700","65067","62758","98.6","126035","1","1278","0.1","128","0.3","383","29.8","38092","64.3","82191","5.9","7542","63.6","81297","55.5","46.4","9.2","104","34750","30205","4.2","1571","1431","431","314","87.7","112121","8.1","10364","4.2","5340","53.9","53900","51.7","51700","2.2","2200","36","36000","60","4.1","4609","6033","3840","0.339","9.5","0","1059","0","0","744","315","0","0","0","0","1051","5","1","2","0","0","0","0","0","1056","0","3","0","0","0","0","0","0","0","21","758","280"
"Terengganu","5.5197","102.746","Setiu","1027","127825","124","125125","2700","65067","62758","98.6","126035","1","1278","0.1","128","0.3","383","29.8","38092","64.3","82191","5.9","7542","63.6","81297","55.5","46.4","9.2","104","34750","30205","4.2","1571","1431","431","314","87.7","112121","8.1","10364","4.2","5340","53.9","53900","51.7","51700","2.2","2200","36","36000","60","4.1","4609","6033","3840","0.339","9.5","0","1059","0","0","744","315","0","0","0","0","1051","5","1","2","0","0","0","0","0","1056","0","3","0","0","0","0","0","0","0","21","758","280"
"Terengganu","5.3679","103.0472","Kuala Nerus","331","144220","436","142242","1978","71829","72391","97.9","141191","1.6","2308","0.4","577","0.1","144","26.2","37786","68.6","98935","5.2","7499","68.3","98502","45.9","38.2","7.6","99","38023","35113","4.1","1869","1615","513","353","88.8","128137","8.3","11980","2.8","4103","60.1","60100","57.1","57100","3","3000","48.8","48800","55.2","5","6725","7716","4715","0.298","3.8","1","749","0","1","511","238","1","0","0","0","744","2","0","3","1","0","0","0","0","749","0","0","0","0","0","0","0","1","0","8","489","252"
"Terengganu","5.3296","103.137","Kuala Terengganu","57","129031","2264","125889","3142","64632","64399","94.6","122063","4.8","6193","0.4","516","0.2","258","24.2","31226","67.8","87483","8","10322","70.8","91354","47.4","35.6","11.8","100","37635","36309","3.6","1582","1420","434","310","79.5","102582","19.7","25445","0.8","1004","56","56000","53.2","53200","2.8","2800","35.6","35600","61.1","5","5681","6689","4599","0.283","3.3","1","624","0","1","406","218","1","0","0","0","613","5","5","1","1","0","0","0","0","618","0","4","2","0","0","0","0","1","1","6","411","206"
"Terengganu","5.2077","103.2049","Marang","714","162312","227","160301","2011","82619","79693","98.5","159877","1.3","2110","0","0","0.2","325","28.9","46908","65.1","105665","5.9","9576","64.8","105178","53.6","44.4","9.1","104","45346","38299","4.2","2009","1857","552","406","91","147735","7","11282","2","3291","64","64000","62","62000","2","2000","50.7","50700","55.8","3.2","5227","6299","4225","0.318","7.5","0","777","0","0","535","242","0","0","0","0","770","0","2","5","0","0","0","0","0","777","0","0","0","0","0","0","0","0","0","9","515","253"
"Terengganu","5.073","103.0089","Hulu Terengganu","3973","91855","23","87826","4029","48287","43568","99.5","91396","0.2","184","0","0","0.3","276","26.1","23974","66.1","60716","7.8","7165","68.5","62921","51.3","39.5","11.8","111","26783","21999","4.1","1152","1108","317","242","90.3","82933","8.3","7588","1.5","1333","38.3","38300","36.7","36700","1.6","1600","30.2","30200","55.9","4.2","4515","5577","3853","0.337","7.8","0","541","0","0","367","174","0","0","0","0","539","1","0","1","0","0","0","0","0","540","0","1","0","0","0","0","0","0","0","5","365","171"
"Terengganu","4.7549","103.4156","Dungun","2687","156225","58","153275","2950","80238","75987","97.5","152319","2.2","3437","0.1","156","0.2","312","29","45305","66.5","103890","4.5","7030","65.5","102327","50.3","43.6","6.7","106","41794","39159","4.1","1934","1825","530","400","82.2","128417","12.3","19250","5.5","8558","63.9","63900","61.4","61400","2.5","2500","50.8","50800","55.7","3.9","6037","7553","4688","0.342","5.2","2","654","2","0","436","218","2","0","0","0","647","4","0","3","2","0","0","0","0","651","0","3","0","0","0","0","2","0","0","15","461","178"
"Terengganu","4.2316","103.4254","Kemaman","2540","215582","85","208231","7351","113009","102573","95.7","206312","3.8","8192","0.4","862","0.2","431","32.4","69849","64.6","139266","3.1","6683","61.9","133445","54.9","50.1","4.8","110","57733","52932","4","2496","2436","686","532","87.8","189255","10.4","22318","1.9","4009","94.1","94100","90.7","90700","3.5","3500","49.4","49400","65.6","3.7","6592","7854","4652","0.346","4.6","1","325","1","0","216","109","1","0","0","0","323","2","0","0","1","0","0","0","0","323","0","2","0","0","0","0","0","1","0","7","217","101"
"Selangor","3.7696","100.9837","Sabak Bernam","344","48104","140","47062","1042","24618","23486","84.2","40504","11","5291","4.6","2213","0.2","96","18.6","8947","60.4","29055","21","10102","75.7","36415","65.6","30.8","34.7","105","15904","12943","3.6","358","308","108","72","78.5","37762","13.3","6398","8.2","3945","23.9","23900","23.1","23100","0.8","800","9.1","9100","72.4","3.5","3372","4452","2982","0.33","7.7","348","963","206","142","668","295","300","17","28","3","870","34","44","15","305","0","16","26","1","895","1","30","35","2","1","6","195","146","1","19","516","427"
"Selangor","3.6754","100.9858","Sungai Besar","639","58955","92","55722","3233","31190","27765","70.2","41386","26.3","15505","3.3","1946","0.3","177","19.5","11496","62.1","36611","18.4","10848","75.2","44334","61.1","31.4","29.7","112","17846","15457","3.8","410","382","126","89","90","53060","5.8","3419","4.2","2476","30.4","30400","29.5","29500","0.9","900","10.7","10700","73.9","3","5127","7069","4611","0.397","2.7","339","1267","208","131","843","424","317","12","7","3","1158","59","38","12","322","0","10","7","0","1175","1","54","37","0","0","3","207","129","0","20","846","401"
"Selangor","3.5601","101.6583","Hulu Selangor","1712","239978","140","230626","9352","127403","112575","75.3","180703","11.4","27357","12.8","30717","0.5","1200","21.9","52555","69.4","166545","8.8","21118","73.1","175424","44.1","31.5","12.6","113","89382","60176","4","1655","1565","509","366","67.8","162705","30.6","73433","1.6","3840","128.1","128100","124.7","124700","3.4","3400","43.2","43200","74.8","2.6","6249","7598","4165","0.339","1.5","259","748","127","132","456","292","180","19","57","3","507","47","183","11","194","5","16","44","0","542","12","42","149","3","0","4","170","85","0","17","521","210"
"Selangor","3.4264","101.1767","Tanjong Karang","779","59862","77","57592","2270","30072","29790","78.2","46812","13","7782","8.5","5088","0.4","239","17.5","10476","65.4","39150","17.1","10236","77.5","46393","52.8","26.7","26.1","101","18581","16402","3.7","434","361","133","84","85.5","51182","9.8","5866","4.7","2814","30.6","30600","29.7","29700","0.9","900","10","10000","75.4","2.9","4475","5812","3770","0.392","7.2","336","825","200","136","572","253","307","5","21","3","735","33","48","9","312","2","4","18","0","747","2","33","43","0","0","3","215","118","0","14","535","276"
"Selangor","3.3402","101.2498","Kuala Selangor","434","171266","395","161631","9635","89640","81626","79.8","136670","7.6","13016","12.3","21066","0.3","514","23.3","39905","68.7","117660","8","13701","71.5","122455","45.6","33.9","11.7","110","54842","42119","3.9","1201","1085","370","254","74.6","127764","21.4","36651","3.9","6679","86.2","86200","82.5","82500","3.6","3600","26.6","26600","76.4","4.2","5808","7239","4361","0.366","3.1","278","605","157","121","378","227","167","6","102","3","413","13","170","9","178","8","6","85","1","435","8","9","152","1","0","5","170","103","0","11","406","188"
"Selangor","3.2637","101.6538","Selayang","285","363289","1275","339385","23904","191046","172243","61.5","223423","21.6","78470","15.1","54857","1.8","6539","26.6","96635","68.3","248126","5.1","18528","68.5","248853","46.4","38.9","7.5","111","105838","86075","4.2","2538","2348","781","549","67.7","245947","31.9","115889","0.4","1453","177","177000","169.9","169900","7","7000","54.5","54500","76.5","4","7786","9557","4878","0.354","0.6","160","605","76","84","335","270","102","11","41","6","377","31","184","13","110","6","10","33","1","408","8","31","158","0","0","5","93","62","0","17","448","140"
"Selangor","3.2535","101.6533","Gombak","265","349207","1318","321798","27409","181250","167957","79.6","277969","10.1","35270","8.4","29333","1.9","6635","28.4","99175","66.8","233270","4.8","16762","66.8","233270","49.8","42.6","7.2","108","85320","82188","4.2","2530","2184","779","510","67","233969","32.7","114191","0.3","1048","164.2","164200","157.7","157700","6.5","6500","50.7","50700","76.4","3.9","8416","11565","5249","0.395","0.3","96","329","35","61","164","165","75","4","16","1","249","6","61","13","76","1","4","14","1","268","5","5","51","0","0","2","62","32","0","12","213","104"
"Selangor","3.1491","101.7625","Ampang","51","204469","4009","185978","18491","106579","97890","67.1","137199","24.5","50095","7.3","14926","1.1","2249","25.5","52140","68","139039","6.6","13495","70.5","144151","47.1","37.4","9.7","109","62726","56087","3.7","1463","1331","451","311","68","139039","31.6","64612","0.4","818","98.1","98100","92.6","92600","5.5","5500","32.9","32900","74.9","5.6","9243","13591","6253","0.454","1.1","20","70","13","7","40","30","15","0","4","1","56","5","6","3","18","0","0","2","0","60","2","4","4","0","0","1","9","10","0","3","51","16"
"Selangor","3.1339","101.7517","Pandan","20","227413","11371","209734","17679","122526","104887","51.6","117345","40.2","91420","7.4","16829","0.8","1819","21.3","48439","71.8","163283","7","15919","74.9","170332","39.4","29.6","9.7","117","76213","69799","3.3","1548","1532","476","358","69.6","158279","30.1","68451","0.3","682","126.7","126700","120.3","120300","6.4","6400","36.3","36300","77.7","5","8282","9495","5069","0.284","0.3","17","34","5","12","18","16","8","5","4","0","20","3","10","1","8","2","3","4","0","23","1","1","8","1","0","0","8","9","0","0","18","16"
"Selangor","3.1131","101.8157","Hulu Langat","620","347569","561","333562","14007","182145","165424","71.7","249207","19.5","67776","8.4","29196","0.4","1390","23.5","81679","71.5","248512","5","17378","71.6","248859","39.8","32.8","7","110","110398","95187","3.7","2446","2236","753","522","78.1","271451","20","69514","1.9","6604","178.4","178400","168.5","168500","9.9","9900","56.2","56200","76","5.5","9044","10317","5284","0.312","0.9","70","153","27","43","80","73","55","7","7","1","115","4","30","4","55","1","7","7","0","121","5","4","23","0","0","2","50","18","0","3","108","42"
"Selangor","2.9198","101.7809","Bangi","184","687609","3737","621840","65769","365107","322502","62.2","427693","28.7","197344","8.4","57759","0.6","4126","21.4","147148","73.7","506768","4.9","33693","74.2","510206","35.7","29.1","6.7","113","201487","182471","3.8","4698","4412","1446","1031","69.8","479951","29.9","205595","0.2","1375","369.4","369400","352.6","352600","16.8","16800","116.2","116200","76.1","4.5","8335","10265","5275","0.339","0.4","70","210","29","41","102","108","48","6","15","1","164","9","34","3","52","0","6","12","0","167","1","8","32","2","0","2","46","22","0","3","166","41"
"Selangor","3.0327","101.6188","Puchong","78","375181","4810","339659","35522","198612","176569","49.4","185339","41","153824","8.7","32641","0.9","3377","25.6","96046","69.8","261876","4.6","17258","71.5","268254","43.4","36.7","6.6","112","107968","97792","3.9","2545","2434","783","568","63.3","237490","36.5","136941","0.2","750","175","175000","166.4","166400","8.5","8500","63.4","63400","73.4","4.9","7545","10187","5715","0.403","2.1","52","138","23","29","83","55","28","4","8","4","92","13","28","5","41","2","2","7","0","99","3","12","22","2","0","1","34","17","0","3","103","32"
"Selangor","3.0567","101.5851","Subang","69","478154","6930","431857","46297","257689","220465","36.8","175961","48.9","233817","13.4","64073","0.8","3825","18.5","88458","72.5","346662","9","43034","76.9","367700","37.9","25.5","12.4","117","144677","127099","3.7","3254","3171","1001","741","67.5","322754","32.1","153487","0.4","1913","269","269000","255.8","255800","13.2","13200","88.6","88600","75.2","4.9","9944","12747","6927","0.374","0.3","49","83","22","27","42","41","26","7","15","1","41","10","25","7","29","2","5","13","0","49","4","9","21","0","0","2","27","20","0","3","55","25"
"Selangor","3.1279","101.5945","Petaling Jaya","55","362290","6587","324429","37861","193587","168703","52","188391","32.4","117382","14.7","53257","0.9","3261","20","72458","72.5","262660","7.5","27172","76.3","276427","37.9","27.6","10.4","115","109346","97421","3.7","2549","2440","786","570","66.6","241285","31.2","113034","2.2","7970","199.2","199200","189.4","189400","9.9","9900","66.6","66600","75","5","8942","12464","6292","0.441","1.1","242","424","122","120","231","193","137","15","88","2","262","11","138","13","143","11","11","76","1","288","5","9","121","1","0","3","133","106","0","6","314","107"
"Selangor","3.0941","101.5475","Damansara","65","468939","7214","437039","31900","242937","226002","33.7","158032","57.8","271047","7.7","36108","0.9","4220","23.1","108325","67.6","317003","9.3","43611","72.5","339981","47.9","34.2","13.7","107","137145","122621","3.8","3308","2971","1019","694","67.5","316534","32.1","150529","0.4","1876","232.1","232100","220.3","220300","11.8","11800","73.5","73500","76","5.1","9485","12414","7139","0.399","0.6","45","110","24","21","58","52","23","9","12","1","52","15","38","5","27","2","6","10","0","58","7","15","30","0","0","3","22","20","0","0","77","33"
"Selangor","3.2093","101.5613","Sungai Buloh","133","347092","2610","319576","27516","183455","163637","71.2","247130","20.7","71848","7.6","26379","0.6","2083","22.9","79484","72.5","251642","4.5","15619","72.9","253030","37.9","31.6","6.2","112","100120","92584","4","2347","2233","723","521","70","242964","29.7","103086","0.3","1041","172.3","172300","165.4","165400","6.9","6900","60.2","60200","74.1","4","7208","11489","6949","0.46","1.6","196","326","94","102","201","125","140","6","44","6","231","9","75","11","151","3","2","39","1","252","8","5","60","1","0","6","127","63","0","10","243","73"
